id,vendor_id,pickup_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id0,1,2016-01-22 14:53:00,6,-73.96347653754707,40.7546769575677,-74.00943989039098,40.77744737661015,Y,2353
id1,2,2016-10-25 23:28:00,1,-73.93587508489163,40.65170151555194,-73.84171802426258,40.867426379046634,Y,3049
id2,1,2016-01-30 12:36:00,1,-73.80437805722971,40.894245852397056,-74.03961910975369,40.71535990299699,N,1473
id3,2,2016-11-21 04:03:00,4,-74.02403327044546,40.79188827231735,-73.82011022555236,40.783734646744534,Y,1275
id4,1,2016-04-10 20:01:00,1,-73.82921133384066,40.6227717265042,-73.85527529282373,40.71329078926696,Y,1863
id5,2,2016-02-19 02:58:00,1,-73.96607491843771,40.650364094661256,-73.79955829151233,40.808779060324795,N,1135
id6,1,2016-11-24 23:46:00,6,-73.90546366770108,40.72598414757519,-74.02595297002414,40.730436123079706,N,1545
id7,2,2016-06-23 15:22:00,3,-73.80555894227683,40.66641609259357,-73.84068966094135,40.7077711377568,Y,2717
id8,2,2016-03-19 08:40:00,2,-73.93403947477145,40.62370735351471,-73.88600706864513,40.60286422551468,N,3321
id9,1,2016-07-31 23:39:00,4,-73.81048506853953,40.84465682364659,-73.92640966051596,40.60939967630193,N,594
id10,2,2016-11-26 13:14:00,3,-73.88917820240754,40.72655058689644,-73.9001571614413,40.616344834266954,N,1173
id11,2,2016-03-27 12:44:00,4,-73.95063656978515,40.81720535689351,-73.76585786408019,40.70104786206954,N,2053
id12,2,2016-05-28 15:31:00,1,-73.99674870089027,40.88362714339857,-73.93496952535664,40.794856059801404,N,3190
id13,1,2016-08-11 06:21:00,6,-73.95723470342601,40.759324516722764,-74.02802896157095,40.70195915346866,Y,1306
id14,1,2016-03-18 03:26:00,4,-73.89908229703549,40.76214056400559,-73.83911729176415,40.84561802995685,Y,530
id15,1,2016-11-27 15:35:00,3,-73.91379085379673,40.620455442629265,-74.02903172732843,40.820425117287165,N,1004
id16,1,2016-06-10 13:49:00,2,-74.04015549738459,40.775910045564515,-74.02360776703276,40.720862035981845,N,904
id17,2,2016-11-14 11:03:00,4,-73.93900382044859,40.674823359288844,-73.81476374236756,40.630747337983685,N,3590
id18,2,2016-10-02 06:55:00,4,-73.92696768664128,40.86448770729092,-74.02997652240596,40.79121625598732,Y,841
id19,2,2016-06-03 18:40:00,6,-74.03671781548384,40.723528740305724,-74.01703872924861,40.893986110941945,Y,2129
id20,1,2016-10-05 00:55:00,1,-73.79827952057225,40.78611547734753,-73.93996308122645,40.762882028760345,N,3536
id21,2,2016-08-18 17:42:00,1,-73.95451823174706,40.631004813192945,-73.75636101361074,40.686541478081224,N,1163
id22,2,2016-07-11 19:14:00,1,-73.76894576979457,40.83794481032158,-73.99832975905021,40.81897078944048,N,3025
id23,1,2016-07-16 15:11:00,4,-73.77158987217165,40.852770084823305,-74.04240582539141,40.63680706950805,N,1753
id24,2,2016-05-21 00:11:00,5,-73.76778141369454,40.85623412126131,-73.98851799318058,40.62970842350646,N,2153
id25,2,2016-06-06 09:51:00,3,-73.97603909995368,40.72785773477104,-73.85978892986749,40.77199432794549,Y,3008
id26,1,2016-05-20 17:45:00,5,-73.93165279361742,40.63625768092245,-73.98068088299543,40.720621843062766,Y,1990
id27,2,2016-05-09 15:12:00,3,-73.95042445111305,40.75240832114253,-73.80763417647405,40.73784979394815,Y,335
id28,1,2016-04-25 05:24:00,5,-74.04856852971947,40.66585123286346,-73.7728111026756,40.66634040620331,N,3392
id29,2,2016-05-11 06:51:00,2,-74.00703506989512,40.68812914436056,-73.75906146720857,40.72669980426051,Y,1955
id30,1,2016-01-30 01:07:00,6,-74.04159763840352,40.61791820640797,-73.97588385276322,40.62943514045163,N,1091
id31,1,2016-03-31 15:29:00,2,-73.78575629938354,40.61146319145356,-73.76421225275303,40.82680572414774,N,585
id32,2,2016-05-20 02:50:00,3,-73.91538461140694,40.73458534804742,-73.75937126441265,40.858885846851884,N,700
id33,2,2016-04-30 07:18:00,3,-73.93569810584619,40.776501671666,-73.9230555326437,40.620068801635455,N,2954
id34,1,2016-02-04 11:05:00,4,-74.03925170961203,40.76895696495974,-73.91951386889643,40.842884306172884,N,1836
id35,2,2016-04-05 18:24:00,2,-73.98437514536876,40.62004200703891,-73.75831411100816,40.858073765740826,N,2434
id36,1,2016-05-25 08:07:00,3,-74.04111228051087,40.60647108093653,-73.86618015651662,40.773453552232226,Y,1787
id37,1,2016-04-25 04:18:00,4,-73.9319109241952,40.817654594059974,-74.01804772685828,40.79369160543206,Y,1763
id38,2,2016-07-18 12:35:00,2,-73.93738779668303,40.6538094783045,-73.91028217370524,40.79972170041062,N,3218
id39,2,2016-07-27 21:36:00,4,-73.9851428334956,40.66388184490136,-73.81074348550275,40.80243232487081,Y,1937
id40,2,2016-11-01 22:15:00,1,-74.03000314965723,40.78541502443428,-73.80588884795195,40.74939400088642,Y,1606
id41,1,2016-04-09 11:49:00,1,-73.7780254794146,40.696005112476946,-74.0181491484062,40.83405617096262,N,3298
id42,1,2016-08-05 00:34:00,4,-73.86582154541371,40.78922291923913,-74.03318706971143,40.67908955768615,N,733
id43,1,2016-07-06 19:12:00,1,-74.00362754953997,40.76785497215445,-73.85277526840441,40.60648756816594,N,3516
id44,2,2016-02-09 22:30:00,4,-73.95160130040436,40.86790948874953,-73.9106072891786,40.81509640936495,Y,737
id45,1,2016-01-17 21:58:00,3,-73.8511325756082,40.82871087994176,-73.98874766922617,40.68215024720604,Y,1808
id46,1,2016-01-11 07:12:00,2,-73.90339836654584,40.77477450094069,-73.8825988153921,40.8711954730205,Y,1448
id47,1,2016-07-18 05:47:00,5,-73.94313819482375,40.64950050627078,-73.85468277504391,40.689213379158865,Y,2436
id48,2,2016-11-30 02:14:00,1,-73.98627906639346,40.826727483111874,-73.88435476584262,40.70459476479899,N,1183
id49,1,2016-09-16 15:24:00,5,-73.79893606944094,40.88073748367819,-73.7666100994683,40.73400897887424,N,1197
id50,2,2016-10-29 02:22:00,6,-73.99427351372944,40.77558525144276,-73.92630382625183,40.641691621465114,N,424
id51,1,2016-08-28 20:53:00,5,-73.95136579678889,40.63830238026806,-73.92625952066881,40.66440571093496,N,3226
id52,2,2016-10-26 07:16:00,1,-73.77677740916904,40.809650865884564,-73.97891633077982,40.7710665028176,N,2092
id53,1,2016-04-21 12:14:00,6,-73.93674436457057,40.67295848350265,-74.04311451439125,40.8246941013766,Y,3299
id54,2,2016-06-19 04:12:00,5,-73.81771688148388,40.744118316078556,-73.9308109081099,40.68613697284836,N,1557
id55,2,2016-10-15 16:26:00,6,-73.91611945934721,40.73260154736289,-74.00464129578702,40.70031069267373,N,1094
id56,1,2016-06-01 01:26:00,1,-73.77995173712578,40.75798937349716,-73.86830968909558,40.87206621419925,Y,2701
id57,2,2016-10-21 12:04:00,6,-74.02030609568445,40.700607643067464,-74.0074764443517,40.60633101701611,Y,1523
id58,1,2016-01-09 15:52:00,5,-73.86639018691265,40.89711884027897,-73.95606008917835,40.779740075111725,N,3560
id59,1,2016-05-19 12:33:00,6,-73.83770729034129,40.63847937981857,-73.77228187639925,40.89141564718154,N,927
id60,1,2016-02-14 18:36:00,4,-73.94847164425367,40.762550777216184,-73.827097815237,40.756540854799184,Y,3570
id61,1,2016-05-23 02:47:00,3,-73.9914983912889,40.837838817189635,-73.75727089169526,40.70677893432458,Y,1191
id62,2,2016-02-11 03:55:00,6,-73.9782700215933,40.894983789252976,-73.91848740263609,40.68277051687926,Y,3491
id63,1,2016-09-15 03:07:00,2,-73.78562880840187,40.6678180090727,-73.94727662247101,40.67101150327746,N,3212
id64,2,2016-01-10 04:21:00,2,-73.86958458681124,40.80884741111827,-73.88091886659835,40.71118741976547,N,742
id65,1,2016-01-22 20:34:00,6,-74.01999412020037,40.845037192721755,-73.89996541470745,40.75690293260718,Y,2759
id66,1,2016-10-31 10:29:00,1,-73.8046802690717,40.80859877158697,-74.03723725774066,40.75037462591874,Y,1612
id67,1,2016-10-28 21:43:00,2,-73.79593677406898,40.66645574070217,-73.96119294420363,40.63028788275168,N,2702
id68,2,2016-07-21 11:31:00,4,-73.79882966015113,40.625654455687624,-73.86262958126888,40.68932896501384,Y,2521
id69,1,2016-07-15 07:46:00,2,-73.81780802648305,40.68576192030226,-73.94601593682347,40.8658360871585,Y,2065
id70,1,2016-03-15 13:15:00,6,-73.80223253920643,40.698069900034106,-73.86655954378377,40.74558804559977,Y,1578
id71,2,2016-08-08 19:53:00,5,-73.87298766539092,40.85201904219364,-74.01879652347631,40.735302272253406,N,433
id72,2,2016-07-10 08:26:00,6,-73.77694282519319,40.755125065345474,-73.98871058609338,40.69903114912755,N,1670
id73,2,2016-03-01 15:35:00,3,-74.04835733799212,40.72364404161603,-73.89500870767354,40.62479539079292,N,3147
id74,2,2016-05-12 13:31:00,1,-73.97970509634789,40.742728785759866,-73.96538552213048,40.806346789236194,Y,433
id75,2,2016-04-10 20:43:00,3,-73.83339705085041,40.63947002481006,-73.76423058886425,40.870475024436054,Y,478
id76,1,2016-11-01 17:50:00,6,-73.87522318020895,40.628796261456955,-73.77631014603855,40.85191631874368,Y,2317
id77,2,2016-02-12 10:10:00,5,-73.92210908770947,40.74911928689827,-73.91493859070005,40.69444439599849,N,2115
id78,2,2016-03-26 18:53:00,6,-73.98766027198721,40.66430263005457,-73.81703983215309,40.6479131202144,N,2430
id79,2,2016-03-31 01:59:00,1,-73.75373068997766,40.71784922031646,-74.01874137792805,40.67551616917775,N,2837
id80,1,2016-06-20 07:54:00,5,-74.00234827438192,40.80777859828137,-73.78146661186308,40.71602710998906,N,2513
id81,1,2016-03-09 19:31:00,3,-73.91742667011675,40.76518998374786,-74.02213952529921,40.75199538263017,N,2055
id82,1,2016-09-16 14:46:00,3,-73.75661045234243,40.74295236918749,-73.95968228060009,40.88087578375163,Y,819
id83,2,2016-11-17 20:10:00,1,-73.82647989598527,40.809538284308076,-73.8577265483307,40.736160398362784,Y,1351
id84,2,2016-04-16 12:27:00,6,-73.85023888004237,40.62781077971983,-74.01105708556078,40.82397533965539,N,3064
id85,2,2016-05-22 16:47:00,1,-73.75653784038697,40.642705440890836,-73.94275405275819,40.76520657967662,Y,476
id86,1,2016-04-08 04:27:00,3,-73.89973111259538,40.637084114565916,-74.00453856584548,40.85892385610029,Y,1739
id87,1,2016-03-30 05:09:00,3,-73.86763653250969,40.889444092001455,-73.98233480164016,40.64196360166085,N,3567
id88,2,2016-05-21 17:47:00,4,-73.7616305696845,40.76024897738661,-73.9915744898677,40.754689326818884,N,3545
id89,1,2016-09-27 13:42:00,5,-74.01239946603465,40.769930218631806,-73.7781220804047,40.89874521318854,Y,3019
id90,2,2016-01-16 14:02:00,3,-74.0157017570034,40.63483659978209,-73.96812080073111,40.87678077801435,Y,2853
id91,1,2016-02-16 19:18:00,2,-73.81644629082052,40.69539255978943,-73.99362417554849,40.898203469311,Y,1759
id92,2,2016-10-04 01:42:00,4,-73.88274738579825,40.79489122172534,-73.87768581130616,40.82682555637738,Y,1045
id93,2,2016-07-16 15:27:00,1,-74.00654577966063,40.6351886449574,-73.79413744641874,40.65970646425645,Y,906
